"列號","場站代碼","對象代碼","車號","車廂模組","坑位代碼","坑位名稱","坑位類型","上層坑位代碼","設備序號","現場設備名稱","裝用狀態","盤點人","盤點日期","照片檔名或連結","備註"
"1","D","TS","101","M1","50-D-TS101-M1-BCU","煞車控制單元(BCU)總成","總成","50-D-TS101-M1","","","","","","",""
"2","D","TS","101","M1","50-D-TS101-M1-BCU-AIO","BCU_(AIO)類比輸入/輸出板","子件","50-D-TS101-M1-BCU","","","","","","",""
"3","D","TS","101","M1","50-D-TS101-M1-BCU-CIB","BCU_(CIB)控制器網路界面板","子件","50-D-TS101-M1-BCU","","","","","","",""
"4","D","TS","101","M1","50-D-TS101-M1-BCU-CPU","BCU_(CPU)中央處理器板","子件","50-D-TS101-M1-BCU","","","","","","",""
"5","D","TS","101","M1","50-D-TS101-M1-BCU-DIO","BCU_(DIO)數位輸入/輸出板","子件","50-D-TS101-M1-BCU","","","","","","",""
"6","D","TS","101","M1","50-D-TS101-M1-BCU-PSB","BCU_(PSB)電源板","子件","50-D-TS101-M1-BCU","","","","","","",""
"7","D","TS","101","M1","50-D-TS101-M1-BCU-VCB","BCU_(VCB)閥控制板","子件","50-D-TS101-M1-BCU","","","","","","",""
"8","D","TS","101","M1","50-D-TS101-M1-BOGIE","轉向架","總成","50-D-TS101-M1","","","","","","",""
"9","D","TS","101","M1","50-D-TS101-M1-BOGIE-AHU","輔助液壓單元總成(AHU)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"10","D","TS","101","M1","50-D-TS101-M1-BOGIE-BCAL-AX1L","動力式煞車卡鉗總成-L1","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"11","D","TS","101","M1","50-D-TS101-M1-BOGIE-BCAL-AX1R","動力式煞車卡鉗總成-R1","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"12","D","TS","101","M1","50-D-TS101-M1-BOGIE-BCAL-AX2L","動力式煞車卡鉗總成-L2","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"13","D","TS","101","M1","50-D-TS101-M1-BOGIE-BCAL-AX2R","動力式煞車卡鉗總成-R2","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"14","D","TS","101","M1","50-D-TS101-M1-BOGIE-EHU","煞車液壓單元總成(EHU)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"15","D","TS","101","M1","50-D-TS101-M1-BOGIE-GB-AX1L","齒輪箱總成-L1","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"16","D","TS","101","M1","50-D-TS101-M1-BOGIE-GB-AX1R","齒輪箱總成-R1","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"17","D","TS","101","M1","50-D-TS101-M1-BOGIE-GB-AX2L","齒輪箱總成-L2","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"18","D","TS","101","M1","50-D-TS101-M1-BOGIE-GB-AX2R","齒輪箱總成-R2","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"19","D","TS","101","M1","50-D-TS101-M1-BOGIE-TM-AX1L","牽引馬達總成-L1(TM1)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"20","D","TS","101","M1","50-D-TS101-M1-BOGIE-TM-AX1R","牽引馬達總成-R1(TM3)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"21","D","TS","101","M1","50-D-TS101-M1-BOGIE-TM-AX2L","牽引馬達總成-L2(TM2)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"22","D","TS","101","M1","50-D-TS101-M1-BOGIE-TM-AX2R","牽引馬達總成-R2(TM4)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
