SystemCode,SystemCN,SystemEN,SubSystemCN,報修徵狀,故障零組件,故障原因
TS,電聯車系統,TramSystem,車門系統,門機總成異常,其他,其他
TS,電聯車系統,TramSystem,車門系統,門機總成異常,其他,暫態(不需重置)
TS,電聯車系統,TramSystem,車門系統,門機總成異常,其他,暫態(需重置)
TS,電聯車系統,TramSystem,車門系統,門機總成異常,端子台,其他
TS,電聯車系統,TramSystem,車門系統,門機總成異常,端子台,組件故障
TS,電聯車系統,TramSystem,車門系統,門機總成異常,車門線組,其他
TS,電聯車系統,TramSystem,車門系統,門機總成異常,車門線組,鏽蝕
TS,電聯車系統,TramSystem,車門系統,門機總成異常,車門線組,干涉
TS,電聯車系統,TramSystem,車門系統,門機總成異常,驅動馬達,其他
TS,電聯車系統,TramSystem,車門系統,門機總成異常,驅動馬達,組件故障
TS,電聯車系統,TramSystem,車門系統,門機總成異常,驅動馬達,浸水
TS,電聯車系統,TramSystem,車門系統,門機總成異常,編碼器,其他
TS,電聯車系統,TramSystem,車門系統,門機總成異常,編碼器,暫態(不需重置)
TS,電聯車系統,TramSystem,車門系統,門機總成異常,編碼器,暫態(需重置)
TS,電聯車系統,TramSystem,車門系統,門機總成異常,編碼器,組件故障
TS,電聯車系統,TramSystem,車門系統,門機總成異常,緊急開門裝置(極限開關),其他
TS,電聯車系統,TramSystem,車門系統,門機總成異常,緊急開門裝置(極限開關),組件故障
TS,電聯車系統,TramSystem,車門系統,門機總成異常,緊急開門裝置(極限開關),鏽蝕
TS,電聯車系統,TramSystem,車門系統,門機總成異常,門機支架,組件故障
TS,電聯車系統,TramSystem,車門系統,門機總成異常,齒型板,組件故障
TS,電聯車系統,TramSystem,車門系統,門機總成異常,鎖定裝置(極限開關),其他
TS,電聯車系統,TramSystem,車門系統,門機總成異常,鎖定裝置(極限開關),組件故障
TS,電聯車系統,TramSystem,車門系統,門機總成異常,鎖定裝置(極限開關),鏽蝕
TS,電聯車系統,TramSystem,車門系統,門機總成異常,齒型皮帶,其他
TS,電聯車系統,TramSystem,車門系統,門機總成異常,齒型皮帶,斷裂
TS,電聯車系統,TramSystem,車門系統,門機總成異常,齒型皮帶,組件故障
TS,電聯車系統,TramSystem,車門系統,門機總成異常,門扇支架,其他
TS,電聯車系統,TramSystem,車門系統,門機總成異常,門扇支架,組件故障
TS,電聯車系統,TramSystem,車門系統,門機總成異常,導軌,其他
