source_id,domain,source_type,source_location,authority,status,expected_rows,natural_key,target_table,owner,approved_at,notes
SRC-USER,AUTH,TBD,TBD,TBD,DISCOVERY,,employee_no/app_user.account,app_user,,,
SRC-TRAIN,FLEET,TBD,TBD,TBD,DISCOVERY,,train_no,train,,,
SRC-SITE,FLEET,TBD,TBD,TBD,DISCOVERY,,site_code,operating_site,,,
SRC-WAREHOUSE,INVENTORY,TBD,TBD,TBD,DISCOVERY,,warehouse_code,warehouse,,,
SRC-BIN,INVENTORY,TBD,TBD,TBD,DISCOVERY,,warehouse_code+bin_code,warehouse_bin,,,
SRC-MATERIAL,MATERIAL,EXCEL,db-design/物料基礎檔_現有1147筆.xlsx,TBD,STAGED_REVIEW,1147,part_no,material,,,"batch WAVE1-MATERIAL-387B23494318575E; 950 valid; 189 warning; 8 invalid; canonical material unchanged"
SRC-EQUIPMENT-GROUP,ASSET,TBD,TBD,TBD,DISCOVERY,,group_code,equipment_group,,,
SRC-EQUIPMENT-ALIAS,ASSET,CSV,db-design/templates/equipment_alias.csv,TBD,WAITING_APPROVAL,,source_system+alias_name,equipment_alias,,,
SRC-ASSET,ASSET,TBD,TBD,TBD,DISCOVERY,,serial_no,asset,,,
SRC-POSITION,ASSET,CSV,db-design/vehicle-position-slots-tamhai.csv,TBD,REVIEW,,train_no+position_code,vehicle_position,,,
SRC-INSTRUMENT,PRECHECK,TBD,TBD,TBD,DISCOVERY,,instrument_no,instrument,,,
SRC-WI,PRECHECK,TBD,TBD,TBD,DISCOVERY,,wi_no+revision,wi_document,,,
SRC-P1-CHECK,PRECHECK,WORD,approved P1 Word template,TBD,REVIEW,152,template_revision+item_code,pm_template_check_item,,,
SRC-P2-CHECK,PRECHECK,WORD,approved P2 Word template,TBD,WAITING_SOURCE,,template_revision+item_code,pm_template_check_item,,,
SRC-P3-CHECK,PRECHECK,WORD,approved P3 Word template,TBD,WAITING_SOURCE,,template_revision+item_code,pm_template_check_item,,,
SRC-P4-CHECK,PRECHECK,WORD,approved P4 Word template,TBD,WAITING_SOURCE,,template_revision+item_code,pm_template_check_item,,,
SRC-PM-ATTACHMENT,PRECHECK,WORD,approved attachment templates,TBD,REVIEW,2,attachment_code+version,pm_attachment_definition_version,,,
SRC-WORD-FORM,PRINT,WORD,approved original Word templates,TBD,REVIEW,,template_code+version,form_template,,,
SRC-WORK-ORDER,WORK_ORDER,TBD,TBD,TBD,DISCOVERY,,work_order_no,work_order,,,
SRC-INVENTORY-TXN,INVENTORY,TBD,TBD,TBD,DISCOVERY,,source_document+source_line,inventory_transaction,,,
SRC-SCHEDULE,PRECHECK,EXCEL,annual maintenance schedule,TBD,WAITING_SOURCE,,batch+target+month,pm_schedule_item,,,
